ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
392,1787.59,19.7448,22.3593,1440.94,346.645,-28.4084,48.1531,4.8818,17.4775,1440.94,346.645,-28.4084,48.1531,4.8818,17.4775
401,1734.58,-0.544681,21.1747,1509.84,224.738,-27.5958,27.0511,4.55396,16.6207,1509.84,224.738,-27.5958,27.0511,4.55396,16.6207
410,1738.05,-21.8916,21.0336,1567.77,170.282,-25.4952,3.60367,4.54571,16.4879,1567.77,170.282,-25.4952,3.60367,4.54571,16.4879
419,1731.61,-35.0666,19.2941,1614.91,116.693,-22.5457,-12.5209,4.86693,14.4272,1614.91,116.693,-22.5457,-12.5209,4.86693,14.4272
428,1770.01,-48.4463,19.1288,1652.27,117.746,-19.289,-29.1573,5.52118,13.6076,1652.27,117.746,-19.289,-29.1573,5.52118,13.6076
437,1770.68,-61.9365,19.3346,1679.85,90.8265,-16.3535,-45.583,6.52823,12.8063,1679.85,90.8265,-16.3535,-45.583,6.52823,12.8063
446,1856.79,-62.1436,17.3252,1697.56,159.229,-14.4473,-47.6963,7.91661,9.40857,1697.56,159.229,-14.4473,-47.6963,7.91661,9.40857
455,2045.9,-74.4981,15.4382,1704.73,341.172,-14.3436,-60.1544,9.71923,5.71895,1704.73,341.172,-14.3436,-60.1544,9.71923,5.71895
464,2224.7,-80.0589,14.5813,1702.82,521.881,-16.3042,-63.7547,11.8882,2.69306,1702.82,521.881,-16.3042,-63.7547,11.8882,2.69306
473,2178.24,-75.3658,11.5893,1695.48,482.758,-20.2074,-55.1584,14.3085,-2.71919,1695.48,482.758,-20.2074,-55.1584,14.3085,-2.71919
482,2323.36,-71.9894,11.4556,1686.24,637.121,-25.9963,-45.9931,16.8622,-5.40665,1686.24,637.121,-25.9963,-45.9931,16.8622,-5.40665
491,2418.7,-71.1199,10.3049,1679.33,739.37,-33.7278,-37.392,19.432,-9.12711,1679.33,739.37,-33.7278,-37.392,19.432,-9.12711
500,2447.25,-59.624,8.30294,1679.49,767.765,-43.5546,-16.0694,21.8956,-13.5927,1679.49,767.765,-43.5546,-16.0694,21.8956,-13.5927
509,2577.77,-47.175,8.22746,1690.61,887.165,-55.5188,8.34378,24.1388,-15.9113,1690.61,887.165,-55.5188,8.34378,24.1388,-15.9113
518,2558.51,-42.4169,7.35097,1712.79,845.723,-68.9733,26.5564,26.0931,-18.7422,1712.79,845.723,-68.9733,26.5564,26.0931,-18.7422
527,2579.22,-23.0411,6.50428,1745.05,834.165,-83.1135,60.0723,27.6913,-21.187,1745.05,834.165,-83.1135,60.0723,27.6913,-21.187
536,2523.98,-18.6287,6.71246,1787.51,736.466,-97.1583,78.5297,28.8518,-22.1394,1787.51,736.466,-97.1583,78.5297,28.8518,-22.1394
545,2519.15,-1.43395,8.58876,1841.21,677.943,-110.35,108.916,29.479,-20.8903,1841.21,677.943,-110.35,108.916,29.479,-20.8903
554,2566.59,3.55431,8.51755,1907.73,658.852,-121.911,125.466,29.465,-20.9475,1907.73,658.852,-121.911,125.466,29.465,-20.9475
