Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
04D4in,0.514353,42.363951,0.088897,42.358411,0.0055396883,42.52092,-0.15696988
04D2mj,0.514746,42.560964,0.090306,42.360407,0.20055708,42.52296,0.038004888
05D3ci,0.515587,42.452603,0.106833,42.364675,0.087927993,42.527319,-0.074715447
06D3el,0.519611,42.471136,0.088502,42.385006,0.086130213,42.548086,-0.076950088
04D2gc,0.522762,42.482671,0.089115,42.400823,0.081847101,42.564246,-0.081575597
06D2ca,0.532765,42.392305,0.08987,42.450454,-0.05814907,42.614965,-0.22266047
06D2cc,0.533766,42.173706,0.09473,42.455372,-0.28166692,42.619993,-0.44628739
05D4ek,0.534335,42.165507,0.090128,42.458165,-0.29265751,42.622847,-0.45734
05D4be,0.535327,42.500563,0.08873,42.463025,0.037537468,42.627816,-0.12725317
05D2eb,0.535771,42.338122,0.091256,42.465198,-0.12707661,42.630037,-0.29191565
04D4bq,0.548325,42.164539,0.09145,42.525951,-0.36141213,42.692161,-0.52762182
06D4bo,0.550315,42.509848,0.089299,42.535461,-0.025613319,42.701889,-0.19204059
04D3hn,0.552605,42.229237,0.089654,42.546366,-0.31712887,42.713044,-0.48380662
06D2ck,0.553797,42.561602,0.091857,42.552025,0.0095765772,42.718833,-0.1572316
05D1ee,0.557743,42.486901,0.090291,42.570679,-0.083778001,42.737919,-0.25101813
