ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
1614,407.925,-9.49197,28.6547,368.511,39.4147,-19.1848,9.6928,22.0833,6.57146,376.774,31.1511,-13.579,4.08707,22.6207,6.03406
1631,399.577,-25.3687,25.01,364.04,35.5366,-26.2961,0.927451,20.9378,4.07221,366.581,32.9959,-21.5495,-3.81921,21.8692,3.14087
1648,389.097,-22.7408,15.7028,367.478,21.6188,-31.6815,8.94072,19.1552,-3.45235,365.929,23.1673,-28.1692,5.4284,20.402,-4.69923
1665,391.497,-25.4964,25.7318,375.731,15.7652,-34.8207,9.3243,16.9367,8.79503,372.155,19.3412,-32.7737,7.27725,18.3817,7.35009
1682,385.396,-29.9275,35.6797,385.798,-0.401819,-35.5192,5.59172,14.5038,21.1759,382.199,3.19701,-34.9953,5.0678,16.0189,19.6608
1699,400.368,-26.1074,19.884,394.758,5.60998,-33.892,7.78464,12.0994,7.78455,392.912,7.45547,-34.7659,8.65857,13.5565,6.32745
1716,393.039,-22.1731,-2.30435,399.972,-6.93292,-30.3092,8.13604,9.95416,-12.2585,401.371,-8.33204,-32.2899,10.1167,11.2302,-13.5345
1733,407.61,-28.2166,10.7442,399.771,7.83944,-25.3037,-2.91289,8.24098,2.50318,405.353,2.25705,-28.0174,-0.199135,9.24356,1.5006
1750,377.716,-22.2324,37.1788,393.321,-15.6057,-19.5546,-2.67782,7.07587,30.1029,403.393,-25.6776,-22.5698,0.337439,7.75093,29.4279
1767,379.019,-13.1588,21.6818,380.598,-1.57908,-13.8057,0.646949,6.51265,15.1692,394.871,-15.8522,-16.6592,3.50041,6.8443,14.8375
1784,377.36,-11.8144,-18.8184,362.367,14.9928,-8.68005,-3.1344,6.53279,-25.3512,380.109,-2.74978,-10.981,-0.833448,6.54284,-25.3612
1801,358.796,-8.0874,23.4248,340.113,18.6831,-4.70076,-3.38664,7.0501,16.3747,360.188,-1.39175,-6.15717,-1.93023,6.79795,16.6268
1818,342.446,-0.976027,18.7414,315.758,26.6886,-2.24438,1.26836,7.92732,10.8141,336.729,5.71704,-2.67159,1.69556,7.50327,11.2381
1835,313.006,-4.91613,16.6022,291.184,21.8218,-1.45277,-3.46336,9.01074,7.59143,311.678,1.3277,-0.802523,-4.1136,8.51347,8.0887
1852,305.378,1.81527,-6.23088,268.317,37.0615,-2.25462,4.06989,10.1264,-16.3573,287.096,18.2824,-0.621167,2.43644,9.65832,-15.8892
1869,276.147,-4.78882,36.2976,248.794,27.3528,-4.40745,-0.381365,11.1031,25.1944,264.831,11.3155,-2.00676,-2.78206,10.7628,25.5348
1886,265.911,1.66045,0.555329,233.654,32.2568,-7.55013,9.21058,11.8152,-11.2599,246.343,19.5675,-4.66133,6.32178,11.6764,-11.1211
1903,249.92,-11.107,-18.6965,223.379,26.5409,-11.2003,0.0932888,12.1704,-30.8669,232.571,17.3491,-8.15528,-2.95174,12.2786,-30.9752
1920,257.96,-8.76494,26.026,217.908,40.0518,-14.8426,6.07768,12.1184,13.9075,223.872,34.0884,-11.9934,3.22848,12.4901,13.5359
