ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
1818,342.446,-0.976027,18.7414,349.092,-6.64549,-2.07909,1.10306,7.48115,11.2602,408.506,-66.06,-8.48478,7.50875,11.216,7.52536
1835,313.006,-4.91613,16.6022,323.7,-10.6941,0.260068,-5.17619,8.47902,8.12314,377.48,-64.4741,-8.83616,3.92003,12.4561,4.1461
1852,305.378,1.81527,-6.23088,298.143,7.23547,0.856519,0.958751,9.64823,-15.8791,350.074,-44.696,-10.5128,12.328,13.6148,-19.8457
1869,276.147,-4.78882,36.2976,274.392,1.75464,-0.223512,-4.5653,10.8113,25.4862,327.114,-50.9673,-13.1598,8.37097,14.5616,21.736
1886,265.911,1.66045,0.555329,254.134,11.7765,-2.7077,4.36815,11.808,-11.2527,308.991,-43.0798,-16.4787,18.1392,15.2094,-14.6541
1903,249.92,-11.107,-18.6965,238.555,11.3654,-6.18699,-4.92003,12.5064,-31.2029,295.569,-45.6492,-20.0806,8.97358,15.5042,-34.2008
1920,257.96,-8.76494,26.026,228.233,29.7276,-10.1717,1.40674,12.8159,13.2101,286.38,-28.4194,-23.5545,14.7895,15.4207,10.6053
1937,245.342,-13.224,20.5827,223.082,22.2596,-14.1406,0.916595,12.7015,7.88118,280.931,-35.5892,-26.5978,13.3739,14.9582,5.62447
1954,231.313,-5.86213,-42.7334,222.476,8.83707,-17.6056,11.7435,12.1768,-54.9102,278.286,-46.9737,-28.9616,23.0995,14.1601,-56.8935
1971,229.279,-28.0519,51.929,225.329,3.9493,-20.1692,-7.88272,11.2977,40.6312,277.333,-48.0547,-30.458,2.4061,13.0944,38.8346
1988,225.825,-27.8392,5.28485,230.226,-4.40166,-21.5677,-6.27147,10.1607,-4.87585,277.193,-51.3684,-30.9743,3.1351,11.8327,-6.54785
2005,240.086,,,235.637,4.44905,-21.6769,,8.88476,,276.943,-36.8565,-30.5291,,10.4652,
2030,233.983,,,241.489,-7.50685,-19.5835,,7.01526,,274.609,-40.6264,-28.3219,,8.45638,
2063,216.247,,,240.11,-23.8637,-13.7941,,5.09791,,265.575,-49.3287,-23.3255,,6.18936,
2096,204.908,,,225.283,-20.3742,-6.8244,,4.2592,,248.743,-43.8344,-17.4643,,4.72222,
2129,200.092,,,199.219,0.873001,-1.24297,,4.53231,,225.754,-25.6621,-12.2652,,4.17806,
