ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_CPCfRGravityCosmology,residual_CPCfRGravityCosmology,Dl_CPCfRGravityCosmology_tt,residual_CPCfRGravityCosmology_tt,Dl_CPCfRGravityCosmology_te,residual_CPCfRGravityCosmology_te,Dl_CPCfRGravityCosmology_ee,residual_CPCfRGravityCosmology_ee
689,1822.41,-80.806,38.1163,1768.02,54.392,-69.3803,-11.4256,36.8736,1.24276,,,,,,,,
698,1884.92,-94.2074,38.9399,1796.33,88.5837,-84.1947,-10.0127,36.793,2.14692,,,,,,,,
707,1891,-99.954,36.5131,1839.39,51.6085,-97.8567,-2.09728,36.2342,0.278888,,,,,,,,
716,1908.77,-113.946,36.4293,1895.39,13.3791,-109.874,-4.0716,35.2207,1.20863,,,,,,,,
725,1994.29,-122.488,33.4393,1962.01,32.283,-119.788,-2.7005,33.787,-0.347691,,,,,,,,
734,2050.06,-127.683,32.2593,2036.93,13.1292,-127.255,-0.427999,31.9904,0.268892,,,,,,,,
743,2184.75,-130.614,27.6853,2117.32,67.4346,-131.984,1.37022,29.895,-2.20972,,,,,,,,
752,2260,-131.217,27.3087,2200,59.9997,-133.783,2.5665,27.5791,-0.27038,,,,,,,,
761,2344.61,-126.704,24.6929,2281.93,62.6739,-132.581,5.87694,25.1265,-0.433585,,,,,,,,
770,2348.38,-117.03,21.1035,2360.15,-11.7682,-128.383,11.3532,22.6316,-1.52813,,,,,,,,
779,2350.93,-109.053,19.3843,2431.17,-80.2383,-121.277,12.2243,20.1885,-0.804223,,,,,,,,
788,2481.01,-104.286,19.3659,2492.7,-11.6915,-111.501,7.21576,17.888,1.47786,,,,,,,,
797,2466.93,-89.1184,17.3212,2541.89,-74.955,-99.2854,10.167,15.8136,1.5076,,,,,,,,
806,2493.81,-77.0153,16.1542,2577.12,-83.3158,-85.0387,8.02333,14.0435,2.11074,,,,,,,,
815,2552.73,-64.7342,14.1638,2596.45,-43.7211,-69.1558,4.42155,12.6459,1.51793,,,,,,,,
824,2521.81,-49.9835,12.1229,2599.24,-77.4329,-52.1665,2.183,11.6769,0.445959,,,,,,,,
833,2495.02,-27.9085,11.6282,2584.56,-89.539,-34.5598,6.65128,11.1791,0.449157,,,,,,,,
842,2505.47,-17.8662,13.3085,2552.55,-47.0769,-16.8766,-0.989593,11.1771,2.13141,,,,,,,,
851,2383.14,3.01617,13.0309,2503.78,-120.637,0.368595,2.64757,11.673,1.35788,,,,,,,,
860,2355.55,13.7369,15.4091,2438.9,-83.3554,16.7028,-2.96587,12.6592,2.74988,,,,,,,,
869,2237.42,27.841,16.3651,2360.09,-122.678,31.6291,-3.7882,14.1028,2.26227,,,,,,,,
878,2168.28,41.3423,17.5279,2268.77,-100.487,44.7382,-3.39589,15.9663,1.56163,,,,,,,,
