ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
797,2466.93,-89.1184,17.3212,2575.06,-108.127,-91.3479,2.22951,14.8307,2.49052,2255.66,211.274,-123.904,34.7859,23.9022,-6.58104
806,2493.81,-77.0153,16.1542,2592.82,-99.0183,-75.3573,-1.65802,13.294,2.86018,2336.39,157.411,-119.449,42.434,21.5066,-5.35245
815,2552.73,-64.7342,14.1638,2593.48,-40.7503,-58.1788,-6.55545,12.2062,1.95759,2411.03,141.701,-112.218,47.4842,19.1764,-5.01265
824,2521.81,-49.9835,12.1229,2577.01,-55.2006,-40.368,-9.61545,11.6084,0.514491,2476.91,44.8949,-102.52,52.5366,17.0093,-4.88649
833,2495.02,-27.9085,11.6282,2543.09,-48.074,-22.4397,-5.46887,11.5279,0.100322,2531.09,-36.0688,-90.6228,62.7143,15.0899,-3.46164
842,2505.47,-17.8662,13.3085,2492.49,12.9747,-4.96002,-12.9062,11.9744,1.33405,2571.67,-66.2027,-76.8471,58.9809,13.4847,-0.176196
851,2383.14,3.01617,13.0309,2426.41,-43.262,11.5308,-8.5146,12.935,0.0959259,2597.22,-214.072,-61.4871,64.5033,12.2379,0.793006
860,2355.55,13.7369,15.4091,2346.01,9.53303,26.5576,-12.8206,14.3863,1.02275,2606.35,-250.805,-44.8784,58.6153,11.389,4.02004
869,2237.42,27.841,16.3651,2253.85,-16.4354,39.6884,-11.8474,16.279,0.0860772,2599.31,-361.897,-27.6186,55.4595,10.9676,5.39752
878,2168.28,41.3423,17.5279,2151.64,16.6389,50.5906,-9.24826,18.5586,-1.03063,2575.57,-407.286,-10.2605,51.6028,11.0008,6.5271
887,2073.72,49.2007,22.0617,2042.24,31.4764,58.9755,-9.77482,21.1429,0.918787,2535.72,-461.996,6.68698,42.5137,11.4885,10.5731
896,1948.82,55.0267,24.2907,1927.98,20.8422,64.604,-9.57725,23.953,0.337657,2479.83,-531.008,22.7645,32.2623,12.4336,11.857
905,1843.37,57.821,23.2827,1811.65,31.7219,67.4172,-9.59611,26.8887,-3.60595,2408.52,-565.147,37.6855,20.1355,13.816,9.46679
914,1745.6,67.5475,29.1072,1696.19,49.4097,67.3806,0.166875,29.8516,-0.744444,2323.75,-578.144,51.0569,16.4906,15.5883,13.5189
